2017-02-13 23:55:55,092 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/main/resources
2017-02-13 23:55:55,093 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:55:55,094 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/test/resources
2017-02-13 23:57:56,869 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:57:56,870 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/main/resources
2017-02-13 23:57:56,873 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:57:56,874 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/test/resources
2017-02-13 23:58:15,846 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:58:15,847 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/main/resources
2017-02-13 23:58:15,848 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:58:15,848 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/test/resources
2017-02-14 00:01:48,900 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 00:01:48,904 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/main/resources
2017-02-14 00:01:48,907 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 00:01:48,910 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/test/resources
